"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"CHIP-TECHNOLOGY";"DATASHEET-URL";"DESCRIPTION";"DOMINANT-WAVELENGTH";"EMITTING-COLOR";"FORWARD-VOLTAGE";"GENDER";"H";"IR";"LUMINOUS-INTENSITY";"MF";"MOUNT";"MP";"OPERATION-FORCE";"PACKAGE";"PACKAGING";"PART-NUMBER";"PEAK-WAVELENGTH";"PINS";"PITCH";"POPULARITY";"PRICE";"PROD_ID";"PURCHASE-URL";"QTY";"ROWS";"SPICEPREFIX";"TYPE";"VALUE";
"1";"";"ANTENNA_U.FL";"U.FL";"X1";"U.FL Antenna Connector";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";" 61300311821 ";"6130XX11821_61300311821";"61300311821";"J3";"WR-PHD 2.54 mm Socket Header";"";"";"https://www.we-online.com/catalog/datasheet/61300311821.pdf";"";"";"";"";"Socket Header";"";"3A";"";"";"THT";"";"";"";"Tray";" 61300311821 ";"";" 3 ";"2.54mm";"";"";"";"";"";"Single";"";"Straight";" 61300311821 ";
"1";" 61300411821 ";"6130XX11821_61300411821";"61300411821";"J2";"WR-PHD 2.54 mm Socket Header";"";"";"https://www.we-online.com/catalog/datasheet/61300411821.pdf";"";"";"";"";"Socket Header";"";"3A";"";"";"THT";"";"";"";"Tray";" 61300411821 ";"";" 4 ";"2.54mm";"";"";"";"";"";"Single";"";"Straight";" 61300411821 ";
"11";"100n";"C-EUC0603K";"C0603K";"C5, C6, C7, C8, C9, C10, C11, C12, C14, C15, C17";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"30";"";"";"";"";"";"C";"";"";
"2";"10k";"R-EU_R0603RF";"R0603RF";"R5, R10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"150060RS75000";"WL-SMCW_0603_150060RS75000";"WL-SMCW_0603";"D1";"WL-SMCW SMT Mono-color Chip LED Waterclea";"";"AlInGaP";"https://www.we-online.com/catalog/datasheet/150060RS75000.pdf";"";"625nm";"Red";"140°";"";"";"";"250mcd";"";"";"";"";"";"";"150060RS75000";"630nm";"";"";"";"";"";"";"";"";"";"";"150060RS75000";
"3";"1k";"R-EU_R0603RF";"R0603RF";"R4, R6, R9";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"1u";"C-EUC0603K";"C0603K";"C13, C16";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"30";"";"";"";"";"";"C";"";"";
"2";"1µ";"C-EUC0805K";"C0805K";"C1, C2";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"52";"";"";"";"";"";"C";"";"";
"2";"27";"R-EU_R0603RF";"R0603RF";"R7, R8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"27p";"C-EUC0603K";"C0603K";"C3, C4";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"30";"";"";"";"";"";"C";"";"";
"2";"434153017835";"434153017835";"434153017835";"BOOT, RESET";"WS-TASV J-Bend SMT Tact Switch 3.5x2.9 mm";"";"";"https://www.we-online.com/catalog/datasheet/434153017835.pdf";"";"";"";"";"";"1.7mm";"";"";"";"";"";"350g";"";"";"434153017835";"";"";"";"";"";"";"";" 4000 ";"";"";"";"434153017835";
"2";"4k7";"R-EU_R0603RF";"R0603RF";"R2, R3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"5k1";"R-EU_R0603RF";"R0603RF";"R1, R11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
